description,date_opened,date_closed,type,status,resolution
"Ранним утром в парке нашли тело мужчины с признаками удушения. Полиция оцепила место происшествия и начала опрос свидетелей. Один из бегунов сообщил, что видел подозрительного человека с капюшоном. У погибшего не было документов, но отпечатки помогли его идентифицировать. Выяснилось, что он был свидетелем в другом уголовном деле. Следователи рассматривают версию заказного убийства.",2010-11-01,2011-05-30,убийство,закрыто,раскрыто
"На складе строительной компании произошёл взрыв. Один из сотрудников погиб, двое получили ранения. По предварительным данным, взрывчатка была заложена заранее. Камеры наблюдения зафиксировали движение постороннего человека за день до инцидента. Следователи проверяют сотрудников на предмет связей с конкурирующими фирмами. Эксперты-криминалисты подтвердили наличие промышленной взрывчатки.",2020-10-08,2020-11-06,терроризм,закрыто,раскрыто
"В магазине электроники произошла дерзкая кража. Преступники отключили сигнализацию и проникли внутрь через вентиляционную шахту. Были похищены товары на сумму более 3 миллионов рублей. Охрана утверждает, что всё оборудование работало исправно. Следствие подозревает, что в преступлении участвовали бывшие сотрудники. Возбуждено уголовное дело по статье о краже в особо крупном размере.",2009-12-24,,кража,открыто,не раскрыто
Поздно ночью в жилом доме произошло нападение на пожилую женщину. Неизвестный проник в квартиру через окно и нанёс пострадавшей несколько ударов. Соседи услышали крики и вызвали полицию. Женщину доставили в больницу в тяжёлом состоянии. В квартире обнаружены следы крови и отпечатки пальцев. Возбуждено дело по факту разбойного нападения.,2010-06-30,,нападение,открыто,не раскрыто
"На загородной трассе полицейские остановили фургон, в котором находилось более 50 кг наркотических веществ. Водитель пытался скрыться, но был задержан. Документы на груз отсутствовали, а сама машина оказалась угнанной. Водитель отказывается от показаний. Следователи устанавливают причастность к наркокартелю. Уголовное дело возбуждено по факту незаконного оборота наркотиков.",1998-01-29,1998-06-30,торговля наркотиками,закрыто,не раскрыто
"В жилом доме произошел поджог, который уничтожил несколько квартир. Пожар начался на первом этаже и быстро распространился вверх. Соседи видели мужчину, убегавшего с места происшествия сразу после начала возгорания. Пожарные обнаружили признаки использования горючих жидкостей. Пострадали трое жителей, один из них в тяжёлом состоянии. Открыто уголовное дело о преднамеренном поджоге.",1996-01-11,,поджог,открыто,не раскрыто
"В центре города водитель внедорожника насмерть сбил пешехода на светофоре. Очевидцы утверждают, что автомобиль двигался на красный свет. Водитель пытался скрыться, но был задержан патрульными. В крови обнаружено превышение допустимого уровня алкоголя. Пострадавший скончался на месте от полученных травм. Ведется следствие по факту ДТП со смертельным исходом.",2001-06-22,2001-10-11,нарушение ПДД,закрыто,раскрыто
"Из музея пропала редкая скрипка XVIII века. Камеры зафиксировали момент кражи, но лицо преступника скрыто маской. Вход был вскрыт с применением специнструмента. Следователи опрашивают персонал и проверяют базы черного рынка. Скрипка оценена в 20 миллионов рублей и является уникальным экземпляром. Возбуждено дело по факту хищения культурных ценностей.",2005-05-08,,кража,приостановлено,не раскрыто
"В центре города был обнаружен банкомат, взорванный с целью кражи наличных. Очевидцы слышали взрыв около трёх часов ночи. Полиция прибыла на место спустя 10 минут, но преступники уже скрылись. Камеры наблюдения зафиксировали фургон без номеров. По предварительной оценке, было похищено около 2 миллионов рублей. Уголовное дело возбуждено по статье о вооружённом ограблении.",1996-02-11,,мошенничество,открыто,не раскрыто
Служба безопасности крупной корпорации выявила утечку конфиденциальных данных. Хакеры получили доступ к внутренней документации и финансовым отчётам. Следы атаки ведут к иностранным IP-адресам. Часть информации появилась в даркнете. IT-отдел начал внутреннюю проверку. Следствие подозревает промышленный шпионаж.,2018-08-17,,киберпреступность,открыто,не раскрыто
Ночью в торговом центре сработала сигнализация. Охрана обнаружила взломанный ювелирный магазин. Были похищены украшения на сумму около 10 миллионов рублей. Камеры наблюдения зафиксировали группу из трёх человек. У одного из них был пистолет. Полиция проверяет точки сбыта драгоценностей.,2015-02-06,,ограбление,открыто,не раскрыто
В озере за городом было обнаружено тело мужчины с привязанными к ногам грузами. Сначала его посчитали утонувшим по неосторожности. Однако экспертиза выявила следы удушения до попадания в воду. Погибший был связан с криминальными кругами. Следствие рассматривает версию расправы. Возбуждено дело по статье убийство.,2007-08-08,2008-02-05,убийство,закрыто,раскрыто
"В городскую больницу поступил пациент с признаками отравления тяжелыми металлами. Мужчина утверждает, что пил только воду из кулера в офисе. Анализы показали высокое содержание ртути. Полиция изъяла оборудование для проверки. Подозрение пало на одного из сотрудников, уволенного месяц назад. Дело квалифицировано как попытка убийства.",2021-05-29,,отравление,открыто,не раскрыто
"Во дворе жилого дома был найден подозрительный пакет. Внутри обнаружено самодельное взрывное устройство. Полиция эвакуировала жильцов ближайших подъездов. Сапёры обезвредили бомбу без жертв. Камеры зафиксировали человека, оставившего пакет за несколько часов до обнаружения. Возбуждено дело по факту попытки теракта.",2017-05-13,,терроризм,открыто,не раскрыто
"На складе городской аптеки обнаружена крупная партия фальсифицированных лекарств. Препараты не имели регистрации и сопровождались поддельными сертификатами. Руководство аптеки заявило, что не знало об этом. Следователи устанавливают поставщиков. Есть подозрение, что дело связано с международной преступной сетью. Расследование продолжается.",2004-07-10,,мошенничество,открыто,не раскрыто
"В элитном жилом комплексе произошло покушение на бизнесмена. Неизвестный выстрелил в него у лифта, ранив в плечо. Камеры наблюдения частично зафиксировали нападение, но лицо стрелка закрыто. Потерпевший утверждает, что не получал угроз. Однако в его делах есть спор с партнёром. Возбуждено дело о покушении на убийство.",2015-05-15,2016-01-13,покушение,закрыто,раскрыто
"В ночь на пятницу в пригороде сгорел частный дом. Погибли трое жильцов, среди них ребёнок. Пожар начался внезапно, несмотря на недавнюю проверку электропроводки. Экспертиза показала наличие бензина в месте возгорания. Соседи сообщили о подозрительной машине, припаркованной рядом за день до пожара. Дело возбуждено по факту убийства и поджога.",1997-09-01,,поджог,открыто,не раскрыто
"Житель города заявил о пропаже жены, ушедшей утром на работу и не вернувшейся. Мобильный телефон выключен, свидетелей нет. В полиции зарегистрировали дело как без вести пропавшую. Через три дня её машину нашли у леса. В салоне обнаружены следы крови и сломанные очки. Следователи рассматривают версию похищения.",2010-02-22,2010-09-08,похищение,закрыто,раскрыто
"В банковской системе зафиксированы несанкционированные переводы крупных сумм. Пострадало более 20 клиентов. Специалисты выявили вредоносную программу, внедрённую через фишинговое письмо. Деньги переведены на офшорные счета. Расследование ведётся совместно с международными агентствами. Возбуждено дело о кибермошенничестве.",2011-09-05,,киберпреступность,открыто,не раскрыто
"В поезде дальнего следования был найден труп мужчины с ножевыми ранениями. Пассажиры утверждают, что не слышали шума. У погибшего были документы на имя гражданина другой страны. Камеры зафиксировали, что он входил в вагон с двумя неизвестными. Объявлен розыск по всей железнодорожной сети. Возбуждено дело по факту убийства.",2020-07-25,2020-09-07,убийство,закрыто,раскрыто
На международной выставке искусства была подменена картина известного художника. Оригинал исчез за несколько часов до закрытия. Подмена обнаружена только на следующий день при инвентаризации. Охрана не зафиксировала нарушений. Подозрение пало на одного из сотрудников галереи. Уголовное дело возбуждено по факту кражи культурных ценностей.,1998-08-14,,кража,открыто,не раскрыто
В отдел полиции поступило сообщение о шантаже известного политика. Неизвестный требовал деньги за компрометирующие материалы. В ходе спецоперации при передаче денег преступник был задержан. У него изъяты электронные устройства с доказательствами. Политик от комментариев отказался. Возбуждено дело о вымогательстве.,1999-01-25,1999-10-27,вымогательство,закрыто,не раскрыто
"В порту была задержана яхта, перевозившая незадекларированные антикварные изделия. Документы на груз оказались поддельными. Среди предметов – артефакты, числящиеся в международном розыске. Экипаж утверждает, что не знал о содержимом ящиков. Начата проверка судоходной компании. Возбуждено уголовное дело о контрабанде.",2024-06-08,2025-03-30,контрабанда,закрыто,раскрыто
В городской администрации выявлены факты хищения бюджетных средств. Финансовая проверка обнаружила фиктивные контракты на миллионы рублей. Несколько чиновников уже допрошены. Документы изымались в рамках обыска. Следователи рассматривают возможность привлечения к ответственности по статье мошенничество. Расследование продолжается.,2009-12-02,,мошенничество,открыто,не раскрыто
"Во дворе школы найден подозрительный кейс. Охрана вызвала полицию, здание эвакуировали. Внутри кейса находилось взрывное устройство с таймером. Сапёры обезвредили его за 15 минут до срабатывания. Камеры видеонаблюдения зафиксировали мужчину в капюшоне. Возбуждено дело о попытке теракта.",2002-06-14,,терроризм,открыто,не раскрыто
"Пожилой мужчина сообщил о краже сейфа из его квартиры. Следов взлома двери не обнаружено. Установлено, что в день кражи в доме были его внуки. Один из них исчез и не выходит на связь. В сейфе хранились деньги и документы на квартиру. Дело возбуждено по статье кража.",2015-01-09,2015-04-26,кража,закрыто,раскрыто
"Из лаборатории исчезли химические реактивы класса А. Исчезновение обнаружено при плановой инвентаризации. Доступ к комнате имел ограниченный круг сотрудников. Камеры были отключены за день до пропажи. Подозревается сотрудник, недавно подавший заявление об увольнении. Возбуждено дело по статье хищение.",1999-12-06,,хищение,открыто,не раскрыто
"Поступило сообщение о нелегальном казино в подвале жилого дома. Полиция провела обыск и изъяла игровые автоматы, деньги и документы. Были задержаны организаторы и несколько посетителей. В здании обнаружены тайные комнаты и охранная система. Установлена связь с преступной группой. Дело передано в суд.",2015-02-24,2015-05-04,незаконная деятельность,закрыто,раскрыто
"В лесу за городом обнаружены захоронения животных. Экспертиза показала, что туши заражены инфекцией. Предположительно, речь идёт о незаконной утилизации биологических отходов. Следствие ищет источник происхождения останков. Подозрение пало на одну из ветеринарных клиник. Возбуждено дело о нарушении санитарных норм.",2003-12-03,,экологическое преступление,открыто,не раскрыто
"В жилом доме произошёл взрыв газа, разрушивший два этажа здания. Один человек погиб, пятеро получили травмы различной степени тяжести. Пожарные эвакуировали жильцов и предотвратили дальнейшее возгорание. По словам очевидцев, перед взрывом чувствовался сильный запах газа. Следователи обнаружили неисправный газовый вентиль на кухне одной из квартир. Ведется проверка управляющей компании на предмет халатности.",2014-11-04,2014-12-25,взрыв,закрыто,раскрыто
"В центре города мужчина напал на прохожих с ножом. Погибло двое человек, трое получили ранения. Нападавшего задержали на месте происшествия, у него наблюдались признаки психического расстройства. Свидетели утверждают, что он кричал о некой заговорщической организации. Полиция изъяла его личные вещи и направила на экспертизу. Ведется расследование с участием психиатров.",1995-11-17,,нападение,открыто,не раскрыто
"На складе логистической компании были обнаружены украденные автомобили. Всего было найдено восемь машин, числившихся в федеральном розыске. Полиция установила, что доступ к складу имел один из уволенных сотрудников. Камеры зафиксировали его машину около объекта за несколько дней до обыска. Следователи проверяют причастность сотрудников к преступной схеме. Возбуждено уголовное дело.",2005-01-20,2005-07-16,угон,закрыто,раскрыто
"В пригороде был найден мужчина, привязанный к дереву, с признаками истощения. Он сообщил, что его удерживали неизвестные в течение недели. Похитители требовали выкуп у его семьи, однако те не получили никаких сообщений. Жертва частично помнит дорогу до места, где его держали. Полиция обследует местность и проверяет возможные убежища. Возбуждено дело о похищении человека.",2016-11-01,2017-01-21,похищение,закрыто,раскрыто
"Группа школьников обнаружила труп женщины в лесу во время экскурсии. На теле были обнаружены следы борьбы и удушения. Личность погибшей установлена — это местная жительница, пропавшая неделю назад. Её телефон был найден в кустах неподалёку. Следователи опрашивают друзей и коллег. Версия насильственного убийства рассматривается как основная.",1997-11-24,,убийство,открыто,не раскрыто
"В деревне сгорел жилой дом, внутри которого нашли тело мужчины. Экспертиза показала, что возгорание началось изнутри, в районе спальни. Соседи утверждают, что накануне к мужчине приезжали незнакомые люди. В пепелище обнаружены следы бензина и нехарактерные металлические детали. Существует подозрение в поджоге с целью сокрытия преступления. Расследование продолжается.",2009-12-14,,поджог,открыто,не раскрыто
"Во дворе школы нашли подозрительный свёрток. Внутри оказалась самодельная взрывчатка, которую сапёры обезвредили. Камеры наблюдения зафиксировали подростка, оставившего свёрток. Его личность устанавливается, ведётся проверка социальных сетей. Родители учеников обеспокоены уровнем безопасности. Дело передано в отдел по борьбе с экстремизмом.",2023-08-02,,терроризм,приостановлено,не раскрыто
"Во время визита делегации в городскую мэрию произошёл инцидент с утечкой информации. Один из сотрудников передал журналисту конфиденциальный документ. Факт передачи зафиксирован камерами видеонаблюдения. Расследование установило, что сотрудник был связан с оппозиционными СМИ. Проводятся допросы и изъятие техники. Ведется служебная проверка.",2010-04-24,,разглашение тайны,открыто,не раскрыто
"Сотрудники IT-компании выявили утечку клиентских данных. Информация была выставлена на продажу в даркнете. Внутреннее расследование показало, что доступ к базе имел бывший администратор. Следователи провели обыск у подозреваемого и изъяли серверное оборудование. Эксперты проверяют степень ущерба. Возбуждено дело по факту киберпреступления.",2017-04-10,,киберпреступность,открыто,не раскрыто
"На парковке ТЦ произошла стрельба. Один мужчина погиб, двое пострадали. Очевидцы рассказали о ссоре между участниками конфликта, которая переросла в перестрелку. Злоумышленник скрылся с места преступления на автомобиле. Его личность установлена, ведется розыск. Камеры зафиксировали момент нападения.",2013-01-01,2013-07-07,нападение,закрыто,раскрыто
"Из частного дома была похищена крупная сумма денег и коллекция редких монет. Воры проникли через окно на первом этаже, отключив сигнализацию. Соседи не заметили подозрительной активности. Следы обуви ведут к лесополосе за участком. Полиция изъяла записи с уличных камер. Возбуждено дело о краже со взломом.",2022-01-15,2022-05-05,кража,закрыто,раскрыто
Бухгалтер завода подозревается в хищении средств путём фиктивных выплат. За полгода сумма ущерба составила более трёх миллионов рублей. Сотрудник подделывал документы и переводил деньги на счета подставных лиц. Аудит выявил расхождения в отчётности. Ведется опрос руководства и проверка всех операций. Уголовное дело возбуждено по статье о мошенничестве.,2024-06-30,,мошенничество,открыто,не раскрыто
"В автосалоне в ночное время был совершен взлом. Преступники похитили два автомобиля премиум-класса. Камеры наблюдения зафиксировали действия троих неизвестных в масках. Сигнализация сработала с задержкой, что позволило злоумышленникам скрыться. Один автомобиль позже обнаружен на трассе, брошенный. Расследование продолжается.",2003-07-15,,угон,открыто,не раскрыто
"Компания по аренде недвижимости сообщила о подделке контрактов на аренду. Мошенники использовали подложные документы и сдавали квартиры посторонним. Ущерб составил около 900 тысяч рублей. Пострадавшие дали показания, ведется поиск подельников. Один подозреваемый задержан при попытке оформить новый договор. Следствие продолжается.",2021-12-07,,мошенничество,открыто,не раскрыто
"Неизвестные проникли в пункт выдачи техники и вынесли несколько дорогостоящих ноутбуков. В помещении были вырезаны кабели охраны и отключены камеры. Следователи нашли отпечатки на дверной ручке. Расследование сосредоточено на недавних уволенных сотрудниках. Ущерб оценивается в 1,2 миллиона рублей. Ведется розыск по горячим следам.",2021-02-25,,кража,открыто,не раскрыто
"Житель сообщил о том, что его автомобиль был вскрыт, а из багажника пропали инструменты и ноутбук. Соседи сообщили о незнакомце, крутившемся у машин ночью. Камеры наблюдения зафиксировали силуэт подозреваемого. Полиция проверяет похожие инциденты в районе. Пострадавший оценил ущерб в 120 тысяч рублей. Уголовное дело возбуждено.",1998-05-27,1998-08-24,кража,закрыто,не раскрыто
"На рынке был задержан мужчина, торговавший поддельными ювелирными украшениями под видом брендовых. При обыске нашли более ста экземпляров с фальшивыми логотипами. Подозреваемый утверждает, что не знал об их происхождении. Эксперты подтвердили низкое качество изделий. Проверяются поставщики и места закупки. Возбуждено дело о контрафакте.",2000-06-08,,мошенничество,открыто,не раскрыто
В отдел полиции поступило заявление о вымогательстве денег через мессенджеры. Жертва получала угрозы и требование перевести крупную сумму на анонимный счёт. Сообщения сопровождались фотографиями её родственников. Эксперты установили IP-адрес злоумышленника. По месту жительства проведён обыск. Возбуждено дело по статье о вымогательстве.,2012-12-11,,вымогательство,открыто,не раскрыто
"В музее пропала ценная картина из временной экспозиции. Камеры показали, как мужчина в костюме сотрудника охраны вынес её в контейнере. Проверка показала отсутствие такого работника в штате. Охрана не заметила подмену. Расследование ведётся с участием специалистов по искусству. Объявлен федеральный розыск.",1998-10-06,,кража,открыто,не раскрыто
Фирма по доставке сообщила об утечке персональных данных клиентов. Администратор базы допустил взлом через уязвимость в ПО. Хакеры получили доступ к адресам и номерам карт. Начата проверка внутренних протоколов безопасности. Пострадавшие уведомлены о возможных рисках. Дело передано в киберотдел.,2009-11-10,,киберпреступность,открыто,не раскрыто
"Женщина обратилась в полицию с жалобой на мошенников, оформивших на неё кредит. Ей позвонили якобы из банка и убедили установить приложение. Через него был оформлен заём и выведены средства. Следствие установило, что использовалось поддельное удостоверение сотрудника банка. Ведутся поиски лиц, причастных к схеме. Возбуждено уголовное дело.",2016-07-13,,мошенничество,открыто,не раскрыто
"Из транспортной компании пропали три грузовых контейнера с бытовой техникой. В документации отсутствуют отметки об отправке. Подозрение падает на диспетчера, ответственного за маршрутные листы. Его телефон отключён, местоположение неизвестно. Ведётся проверка финансовых переводов. Дело взято на контроль регионального УВД.",2008-08-22,,хищение,открыто,не раскрыто
"На строительной площадке исчез генератор стоимостью более 400 тысяч рублей. Рабочие заметили пропажу утром, когда прибыли на объект. Камеры наблюдения оказались выключенными. Вахтёр сообщил о визите неизвестных с поддельными документами. Полиция изучает списки субподрядчиков. Подано заявление по факту кражи.",2022-01-31,,кража,открыто,не раскрыто
"На вокзале у туриста украли чемодан с техникой и личными вещами. Инцидент произошёл во время посадки в поезд. Камеры зафиксировали момент хищения, подозреваемый скрылся в метро. Сотрудники патруля получили ориентировку. Начаты поиски по записям с уличных камер. Возбуждено дело о краже.",2018-12-16,2019-05-22,кража,закрыто,раскрыто
"Была вскрыта банковская ячейка клиента. Пропали документы и ювелирные изделия на крупную сумму. Замок был заменён без уведомления владельца. Подозрение пало на сотрудника охраны, который вскоре уволился. Следователи изъяли журнал посещений. Назначена техническая экспертиза оборудования.",2015-11-12,,кража,открыто,не раскрыто
"В торговом центре мошенник под видом промоутера собирал данные банковских карт. Посетители сканировали QR-код и попадали на поддельный сайт. Пострадало около двадцати человек. Полиция изъяла терминал и форму, использованные злоумышленником. Один из пострадавших дал точное описание внешности. Ведётся расследование.",2005-02-04,,мошенничество,открыто,не раскрыто
"В магазине бытовой техники выявлена недостача на 600 тысяч рублей. Проверка показала, что один из сотрудников систематически выносил товары под видом уценённых. Схема действовала более трёх месяцев. Камеры подтверждают его действия. Ущерб подсчитывается. Возбуждено уголовное дело.",1994-08-16,1995-01-02,кража,закрыто,не раскрыто
"Из сейфа ювелирного салона исчезли ценности. Замок вскрыт профессионально, сигнализация отключена на несколько минут. Установка уязвимости произошла при техобслуживании. Подозреваемый мастер пропал. Полиция проверяет сервисную компанию. Возбуждено дело по статье о краже в крупном размере.",2004-11-21,,кража,открыто,не раскрыто
"Пожилая женщина сообщила, что ей позвонили «из прокуратуры» и сообщили о компенсации за прошлую потерю. Для её получения нужно было перевести «налог». Женщина перевела 50 тысяч рублей. Позже выяснилось, что номер принадлежит виртуальному оператору. Полиция проверяет другие случаи с аналогичной схемой. Возбуждено дело о мошенничестве.",1998-08-24,,мошенничество,открыто,не раскрыто
"В частной клинике выявлен факт подделки медицинских справок. Один из врачей оформлял документы задним числом за оплату. Расследование началось после жалобы пациента на отсутствие анализов, указанных в справке. Проводится проверка всех выданных справок за последние полгода. Сотрудник временно отстранён. Дело передано в прокуратуру.",2015-07-31,,служебный подлог,открыто,не раскрыто
